2021-08-19 17:36:17,020 - main.py [line: 137] - No pre_train model
2021-08-19 17:54:18,611 - main.py [line: 109] - epoch: 4, iter: 0, lr: 0.000100, loss: 21.183.
2021-08-19 17:54:39,120 - main.py [line: 109] - epoch: 4, iter: 20, lr: 0.000100, loss: 25.375.
2021-08-19 17:55:00,282 - main.py [line: 109] - epoch: 4, iter: 40, lr: 0.000100, loss: 25.518.
2021-08-19 17:55:20,359 - main.py [line: 109] - epoch: 4, iter: 60, lr: 0.000100, loss: 24.062.
2021-08-19 17:55:40,952 - main.py [line: 109] - epoch: 4, iter: 80, lr: 0.000100, loss: 30.367.
2021-08-19 17:56:01,668 - main.py [line: 109] - epoch: 4, iter: 100, lr: 0.000100, loss: 29.318.
2021-08-19 17:56:22,958 - main.py [line: 109] - epoch: 4, iter: 120, lr: 0.000100, loss: 27.240.
2021-08-19 17:56:44,729 - main.py [line: 109] - epoch: 4, iter: 140, lr: 0.000100, loss: 30.652.
2021-08-19 17:57:05,536 - main.py [line: 109] - epoch: 4, iter: 160, lr: 0.000100, loss: 28.151.
2021-08-19 17:57:26,131 - main.py [line: 109] - epoch: 4, iter: 180, lr: 0.000100, loss: 22.418.
2021-08-19 17:57:47,255 - main.py [line: 109] - epoch: 4, iter: 200, lr: 0.000100, loss: 22.460.
2021-08-19 17:58:08,218 - main.py [line: 109] - epoch: 4, iter: 220, lr: 0.000100, loss: 23.530.
2021-08-19 17:58:28,995 - main.py [line: 109] - epoch: 4, iter: 240, lr: 0.000100, loss: 21.856.
2021-08-19 17:58:35,949 - main.py [line: 114] - epoch: 4, mean_loss: 24.982.
2021-08-19 17:58:40,106 - main.py [line: 109] - epoch: 5, iter: 0, lr: 0.000100, loss: 23.324.
2021-08-19 17:59:01,482 - main.py [line: 109] - epoch: 5, iter: 20, lr: 0.000100, loss: 22.089.
2021-08-19 17:59:22,129 - main.py [line: 109] - epoch: 5, iter: 40, lr: 0.000100, loss: 27.270.
2021-08-19 17:59:42,817 - main.py [line: 109] - epoch: 5, iter: 60, lr: 0.000100, loss: 23.000.
2021-08-19 18:00:03,014 - main.py [line: 109] - epoch: 5, iter: 80, lr: 0.000100, loss: 27.333.
2021-08-19 18:00:23,501 - main.py [line: 109] - epoch: 5, iter: 100, lr: 0.000100, loss: 22.634.
2021-08-19 18:00:43,531 - main.py [line: 109] - epoch: 5, iter: 120, lr: 0.000100, loss: 24.773.
2021-08-19 18:01:03,626 - main.py [line: 109] - epoch: 5, iter: 140, lr: 0.000100, loss: 16.796.
2021-08-19 18:01:23,695 - main.py [line: 109] - epoch: 5, iter: 160, lr: 0.000100, loss: 25.341.
2021-08-19 18:01:43,744 - main.py [line: 109] - epoch: 5, iter: 180, lr: 0.000100, loss: 20.756.
2021-08-19 18:02:03,852 - main.py [line: 109] - epoch: 5, iter: 200, lr: 0.000100, loss: 25.167.
2021-08-19 18:02:23,873 - main.py [line: 109] - epoch: 5, iter: 220, lr: 0.000100, loss: 23.847.
2021-08-19 18:02:43,882 - main.py [line: 109] - epoch: 5, iter: 240, lr: 0.000100, loss: 27.348.
2021-08-19 18:02:50,615 - main.py [line: 114] - epoch: 5, mean_loss: 23.390.
2021-08-19 18:02:54,753 - main.py [line: 109] - epoch: 6, iter: 0, lr: 0.000100, loss: 26.418.
2021-08-19 18:03:15,046 - main.py [line: 109] - epoch: 6, iter: 20, lr: 0.000100, loss: 22.440.
2021-08-19 18:03:35,087 - main.py [line: 109] - epoch: 6, iter: 40, lr: 0.000100, loss: 21.426.
2021-08-19 18:03:55,160 - main.py [line: 109] - epoch: 6, iter: 60, lr: 0.000100, loss: 24.802.
2021-08-19 18:04:15,218 - main.py [line: 109] - epoch: 6, iter: 80, lr: 0.000100, loss: 23.739.
2021-08-19 18:04:35,276 - main.py [line: 109] - epoch: 6, iter: 100, lr: 0.000100, loss: 20.385.
2021-08-19 18:04:55,316 - main.py [line: 109] - epoch: 6, iter: 120, lr: 0.000100, loss: 26.871.
2021-08-19 18:05:15,384 - main.py [line: 109] - epoch: 6, iter: 140, lr: 0.000100, loss: 17.779.
2021-08-19 18:05:35,406 - main.py [line: 109] - epoch: 6, iter: 160, lr: 0.000100, loss: 27.048.
2021-08-19 18:05:55,482 - main.py [line: 109] - epoch: 6, iter: 180, lr: 0.000100, loss: 26.968.
2021-08-19 18:06:15,551 - main.py [line: 109] - epoch: 6, iter: 200, lr: 0.000100, loss: 19.269.
2021-08-19 18:06:35,592 - main.py [line: 109] - epoch: 6, iter: 220, lr: 0.000100, loss: 18.288.
2021-08-19 18:06:55,608 - main.py [line: 109] - epoch: 6, iter: 240, lr: 0.000100, loss: 27.095.
2021-08-19 18:07:02,416 - main.py [line: 114] - epoch: 6, mean_loss: 22.530.
2021-08-19 18:07:06,636 - main.py [line: 109] - epoch: 7, iter: 0, lr: 0.000100, loss: 25.561.
2021-08-19 18:07:26,851 - main.py [line: 109] - epoch: 7, iter: 20, lr: 0.000100, loss: 24.620.
2021-08-19 18:07:46,866 - main.py [line: 109] - epoch: 7, iter: 40, lr: 0.000100, loss: 20.444.
2021-08-19 18:08:06,915 - main.py [line: 109] - epoch: 7, iter: 60, lr: 0.000100, loss: 24.277.
2021-08-19 18:08:26,965 - main.py [line: 109] - epoch: 7, iter: 80, lr: 0.000100, loss: 18.894.
2021-08-19 18:08:47,048 - main.py [line: 109] - epoch: 7, iter: 100, lr: 0.000100, loss: 22.504.
2021-08-19 18:09:07,074 - main.py [line: 109] - epoch: 7, iter: 120, lr: 0.000100, loss: 25.888.
2021-08-19 18:09:27,129 - main.py [line: 109] - epoch: 7, iter: 140, lr: 0.000100, loss: 21.009.
2021-08-19 18:09:47,141 - main.py [line: 109] - epoch: 7, iter: 160, lr: 0.000100, loss: 20.831.
2021-08-19 18:10:07,199 - main.py [line: 109] - epoch: 7, iter: 180, lr: 0.000100, loss: 23.942.
2021-08-19 18:10:27,305 - main.py [line: 109] - epoch: 7, iter: 200, lr: 0.000100, loss: 19.251.
2021-08-19 18:10:47,351 - main.py [line: 109] - epoch: 7, iter: 220, lr: 0.000100, loss: 17.871.
2021-08-19 18:11:07,404 - main.py [line: 109] - epoch: 7, iter: 240, lr: 0.000100, loss: 17.817.
2021-08-19 18:11:14,108 - main.py [line: 114] - epoch: 7, mean_loss: 21.868.
2021-08-19 18:11:19,586 - main.py [line: 109] - epoch: 8, iter: 0, lr: 0.000100, loss: 17.518.
2021-08-19 18:11:39,687 - main.py [line: 109] - epoch: 8, iter: 20, lr: 0.000100, loss: 19.719.
2021-08-19 18:11:59,705 - main.py [line: 109] - epoch: 8, iter: 40, lr: 0.000100, loss: 19.054.
2021-08-19 18:12:19,771 - main.py [line: 109] - epoch: 8, iter: 60, lr: 0.000100, loss: 17.873.
2021-08-19 18:12:39,866 - main.py [line: 109] - epoch: 8, iter: 80, lr: 0.000100, loss: 18.056.
2021-08-19 18:12:59,946 - main.py [line: 109] - epoch: 8, iter: 100, lr: 0.000100, loss: 22.060.
2021-08-19 18:13:20,019 - main.py [line: 109] - epoch: 8, iter: 120, lr: 0.000100, loss: 24.293.
2021-08-19 18:13:40,123 - main.py [line: 109] - epoch: 8, iter: 140, lr: 0.000100, loss: 21.362.
2021-08-19 18:14:00,186 - main.py [line: 109] - epoch: 8, iter: 160, lr: 0.000100, loss: 20.110.
2021-08-19 18:14:20,222 - main.py [line: 109] - epoch: 8, iter: 180, lr: 0.000100, loss: 18.709.
2021-08-19 18:14:40,309 - main.py [line: 109] - epoch: 8, iter: 200, lr: 0.000100, loss: 24.996.
2021-08-19 18:15:00,405 - main.py [line: 109] - epoch: 8, iter: 220, lr: 0.000100, loss: 17.718.
2021-08-19 18:15:20,419 - main.py [line: 109] - epoch: 8, iter: 240, lr: 0.000100, loss: 15.779.
2021-08-19 18:15:27,201 - main.py [line: 114] - epoch: 8, mean_loss: 20.710.
2021-08-19 18:15:31,598 - main.py [line: 109] - epoch: 9, iter: 0, lr: 0.000100, loss: 22.450.
2021-08-19 18:15:51,806 - main.py [line: 109] - epoch: 9, iter: 20, lr: 0.000100, loss: 17.903.
2021-08-19 18:16:11,871 - main.py [line: 109] - epoch: 9, iter: 40, lr: 0.000100, loss: 24.544.
2021-08-19 18:16:31,978 - main.py [line: 109] - epoch: 9, iter: 60, lr: 0.000100, loss: 16.645.
2021-08-19 18:16:52,015 - main.py [line: 109] - epoch: 9, iter: 80, lr: 0.000100, loss: 15.860.
2021-08-19 18:17:12,068 - main.py [line: 109] - epoch: 9, iter: 100, lr: 0.000100, loss: 18.852.
2021-08-19 18:17:32,097 - main.py [line: 109] - epoch: 9, iter: 120, lr: 0.000100, loss: 27.069.
2021-08-19 18:17:52,160 - main.py [line: 109] - epoch: 9, iter: 140, lr: 0.000100, loss: 18.291.
2021-08-19 18:18:12,200 - main.py [line: 109] - epoch: 9, iter: 160, lr: 0.000100, loss: 18.578.
2021-08-19 18:18:32,310 - main.py [line: 109] - epoch: 9, iter: 180, lr: 0.000100, loss: 23.652.
2021-08-19 18:18:52,374 - main.py [line: 109] - epoch: 9, iter: 200, lr: 0.000100, loss: 21.164.
2021-08-19 18:19:12,449 - main.py [line: 109] - epoch: 9, iter: 220, lr: 0.000100, loss: 18.735.
2021-08-19 18:19:32,481 - main.py [line: 109] - epoch: 9, iter: 240, lr: 0.000100, loss: 21.909.
2021-08-19 18:19:39,238 - main.py [line: 114] - epoch: 9, mean_loss: 19.920.
2021-08-19 18:19:44,318 - main.py [line: 109] - epoch: 10, iter: 0, lr: 0.000090, loss: 18.161.
2021-08-19 18:20:04,471 - main.py [line: 109] - epoch: 10, iter: 20, lr: 0.000090, loss: 17.695.
2021-08-19 18:20:24,554 - main.py [line: 109] - epoch: 10, iter: 40, lr: 0.000090, loss: 19.573.
2021-08-19 18:20:44,637 - main.py [line: 109] - epoch: 10, iter: 60, lr: 0.000090, loss: 21.149.
2021-08-19 18:21:04,671 - main.py [line: 109] - epoch: 10, iter: 80, lr: 0.000090, loss: 17.842.
2021-08-19 18:21:24,754 - main.py [line: 109] - epoch: 10, iter: 100, lr: 0.000090, loss: 16.783.
2021-08-19 18:21:44,806 - main.py [line: 109] - epoch: 10, iter: 120, lr: 0.000090, loss: 17.511.
2021-08-19 18:22:04,830 - main.py [line: 109] - epoch: 10, iter: 140, lr: 0.000090, loss: 21.249.
2021-08-19 18:22:24,895 - main.py [line: 109] - epoch: 10, iter: 160, lr: 0.000090, loss: 24.334.
2021-08-19 18:22:44,948 - main.py [line: 109] - epoch: 10, iter: 180, lr: 0.000090, loss: 23.426.
2021-08-19 18:23:05,023 - main.py [line: 109] - epoch: 10, iter: 200, lr: 0.000090, loss: 20.463.
2021-08-19 18:23:25,131 - main.py [line: 109] - epoch: 10, iter: 220, lr: 0.000090, loss: 24.751.
2021-08-19 18:23:45,167 - main.py [line: 109] - epoch: 10, iter: 240, lr: 0.000090, loss: 19.825.
2021-08-19 18:23:51,919 - main.py [line: 114] - epoch: 10, mean_loss: 19.711.
2021-08-19 18:23:56,413 - main.py [line: 109] - epoch: 11, iter: 0, lr: 0.000090, loss: 17.063.
2021-08-19 18:24:16,567 - main.py [line: 109] - epoch: 11, iter: 20, lr: 0.000090, loss: 24.531.
2021-08-19 18:24:36,591 - main.py [line: 109] - epoch: 11, iter: 40, lr: 0.000090, loss: 23.985.
2021-08-19 18:24:56,730 - main.py [line: 109] - epoch: 11, iter: 60, lr: 0.000090, loss: 19.131.
2021-08-19 18:25:16,799 - main.py [line: 109] - epoch: 11, iter: 80, lr: 0.000090, loss: 24.440.
2021-08-19 18:25:36,807 - main.py [line: 109] - epoch: 11, iter: 100, lr: 0.000090, loss: 18.309.
2021-08-19 18:25:56,900 - main.py [line: 109] - epoch: 11, iter: 120, lr: 0.000090, loss: 21.792.
2021-08-19 18:26:16,989 - main.py [line: 109] - epoch: 11, iter: 140, lr: 0.000090, loss: 16.713.
2021-08-19 18:26:37,082 - main.py [line: 109] - epoch: 11, iter: 160, lr: 0.000090, loss: 15.958.
2021-08-19 18:26:57,118 - main.py [line: 109] - epoch: 11, iter: 180, lr: 0.000090, loss: 14.966.
2021-08-19 18:27:17,185 - main.py [line: 109] - epoch: 11, iter: 200, lr: 0.000090, loss: 21.644.
2021-08-19 18:27:37,197 - main.py [line: 109] - epoch: 11, iter: 220, lr: 0.000090, loss: 19.504.
2021-08-19 18:27:57,235 - main.py [line: 109] - epoch: 11, iter: 240, lr: 0.000090, loss: 17.432.
2021-08-19 18:28:04,026 - main.py [line: 114] - epoch: 11, mean_loss: 19.323.
2021-08-19 18:28:08,156 - main.py [line: 109] - epoch: 12, iter: 0, lr: 0.000090, loss: 22.746.
2021-08-19 18:28:28,340 - main.py [line: 109] - epoch: 12, iter: 20, lr: 0.000090, loss: 22.771.
2021-08-19 18:28:48,453 - main.py [line: 109] - epoch: 12, iter: 40, lr: 0.000090, loss: 20.389.
2021-08-19 18:29:08,516 - main.py [line: 109] - epoch: 12, iter: 60, lr: 0.000090, loss: 23.963.
2021-08-19 18:29:28,548 - main.py [line: 109] - epoch: 12, iter: 80, lr: 0.000090, loss: 14.479.
2021-08-19 18:29:48,599 - main.py [line: 109] - epoch: 12, iter: 100, lr: 0.000090, loss: 22.035.
2021-08-19 18:30:08,659 - main.py [line: 109] - epoch: 12, iter: 120, lr: 0.000090, loss: 24.851.
2021-08-19 18:30:28,754 - main.py [line: 109] - epoch: 12, iter: 140, lr: 0.000090, loss: 16.800.
2021-08-19 18:30:48,845 - main.py [line: 109] - epoch: 12, iter: 160, lr: 0.000090, loss: 14.053.
2021-08-19 18:31:08,833 - main.py [line: 109] - epoch: 12, iter: 180, lr: 0.000090, loss: 15.874.
2021-08-19 18:31:28,944 - main.py [line: 109] - epoch: 12, iter: 200, lr: 0.000090, loss: 13.958.
2021-08-19 18:31:48,956 - main.py [line: 109] - epoch: 12, iter: 220, lr: 0.000090, loss: 17.689.
2021-08-19 18:32:08,987 - main.py [line: 109] - epoch: 12, iter: 240, lr: 0.000090, loss: 15.928.
2021-08-19 18:32:15,723 - main.py [line: 114] - epoch: 12, mean_loss: 18.276.
2021-08-19 18:32:19,666 - main.py [line: 109] - epoch: 13, iter: 0, lr: 0.000090, loss: 21.169.
2021-08-19 18:32:40,019 - main.py [line: 109] - epoch: 13, iter: 20, lr: 0.000090, loss: 17.371.
2021-08-19 18:33:00,070 - main.py [line: 109] - epoch: 13, iter: 40, lr: 0.000090, loss: 17.415.
2021-08-19 18:33:20,105 - main.py [line: 109] - epoch: 13, iter: 60, lr: 0.000090, loss: 29.677.
2021-08-19 18:33:40,136 - main.py [line: 109] - epoch: 13, iter: 80, lr: 0.000090, loss: 19.413.
2021-08-19 18:34:00,142 - main.py [line: 109] - epoch: 13, iter: 100, lr: 0.000090, loss: 20.381.
2021-08-19 18:34:20,245 - main.py [line: 109] - epoch: 13, iter: 120, lr: 0.000090, loss: 18.348.
2021-08-19 18:34:40,271 - main.py [line: 109] - epoch: 13, iter: 140, lr: 0.000090, loss: 15.132.
2021-08-19 18:35:00,295 - main.py [line: 109] - epoch: 13, iter: 160, lr: 0.000090, loss: 21.031.
2021-08-19 18:35:20,324 - main.py [line: 109] - epoch: 13, iter: 180, lr: 0.000090, loss: 19.932.
2021-08-19 18:35:40,381 - main.py [line: 109] - epoch: 13, iter: 200, lr: 0.000090, loss: 21.584.
2021-08-19 18:36:00,384 - main.py [line: 109] - epoch: 13, iter: 220, lr: 0.000090, loss: 19.855.
2021-08-19 18:36:20,427 - main.py [line: 109] - epoch: 13, iter: 240, lr: 0.000090, loss: 27.123.
2021-08-19 18:36:27,063 - main.py [line: 114] - epoch: 13, mean_loss: 18.440.
2021-08-19 18:36:32,101 - main.py [line: 109] - epoch: 14, iter: 0, lr: 0.000090, loss: 16.757.
2021-08-19 18:36:52,239 - main.py [line: 109] - epoch: 14, iter: 20, lr: 0.000090, loss: 15.445.
2021-08-19 18:37:12,257 - main.py [line: 109] - epoch: 14, iter: 40, lr: 0.000090, loss: 14.273.
2021-08-19 18:37:32,356 - main.py [line: 109] - epoch: 14, iter: 60, lr: 0.000090, loss: 18.222.
2021-08-19 18:37:52,390 - main.py [line: 109] - epoch: 14, iter: 80, lr: 0.000090, loss: 17.806.
2021-08-19 18:38:12,416 - main.py [line: 109] - epoch: 14, iter: 100, lr: 0.000090, loss: 19.172.
2021-08-19 18:38:32,475 - main.py [line: 109] - epoch: 14, iter: 120, lr: 0.000090, loss: 19.412.
2021-08-19 18:38:52,546 - main.py [line: 109] - epoch: 14, iter: 140, lr: 0.000090, loss: 21.448.
2021-08-19 18:39:12,588 - main.py [line: 109] - epoch: 14, iter: 160, lr: 0.000090, loss: 21.108.
2021-08-19 18:39:32,660 - main.py [line: 109] - epoch: 14, iter: 180, lr: 0.000090, loss: 17.684.
2021-08-19 18:39:52,694 - main.py [line: 109] - epoch: 14, iter: 200, lr: 0.000090, loss: 16.132.
2021-08-19 18:40:12,753 - main.py [line: 109] - epoch: 14, iter: 220, lr: 0.000090, loss: 13.566.
2021-08-19 18:40:32,762 - main.py [line: 109] - epoch: 14, iter: 240, lr: 0.000090, loss: 16.089.
2021-08-19 18:40:39,556 - main.py [line: 114] - epoch: 14, mean_loss: 17.878.
2021-08-19 18:40:43,733 - main.py [line: 109] - epoch: 15, iter: 0, lr: 0.000090, loss: 16.146.
2021-08-19 18:41:03,929 - main.py [line: 109] - epoch: 15, iter: 20, lr: 0.000090, loss: 23.226.
2021-08-19 18:41:23,933 - main.py [line: 109] - epoch: 15, iter: 40, lr: 0.000090, loss: 15.286.
2021-08-19 18:41:44,036 - main.py [line: 109] - epoch: 15, iter: 60, lr: 0.000090, loss: 16.773.
2021-08-19 18:42:04,071 - main.py [line: 109] - epoch: 15, iter: 80, lr: 0.000090, loss: 16.275.
2021-08-19 18:42:24,166 - main.py [line: 109] - epoch: 15, iter: 100, lr: 0.000090, loss: 22.431.
2021-08-19 18:42:44,184 - main.py [line: 109] - epoch: 15, iter: 120, lr: 0.000090, loss: 21.439.
2021-08-19 18:43:04,210 - main.py [line: 109] - epoch: 15, iter: 140, lr: 0.000090, loss: 12.965.
2021-08-19 18:43:24,270 - main.py [line: 109] - epoch: 15, iter: 160, lr: 0.000090, loss: 20.432.
2021-08-19 18:43:44,361 - main.py [line: 109] - epoch: 15, iter: 180, lr: 0.000090, loss: 21.384.
2021-08-19 18:44:04,484 - main.py [line: 109] - epoch: 15, iter: 200, lr: 0.000090, loss: 15.275.
2021-08-19 18:44:24,583 - main.py [line: 109] - epoch: 15, iter: 220, lr: 0.000090, loss: 20.136.
2021-08-19 18:44:44,619 - main.py [line: 109] - epoch: 15, iter: 240, lr: 0.000090, loss: 15.672.
2021-08-19 18:44:51,329 - main.py [line: 114] - epoch: 15, mean_loss: 17.724.
2021-08-19 18:44:55,346 - main.py [line: 109] - epoch: 16, iter: 0, lr: 0.000090, loss: 16.502.
2021-08-19 18:45:15,583 - main.py [line: 109] - epoch: 16, iter: 20, lr: 0.000090, loss: 15.844.
2021-08-19 18:45:35,587 - main.py [line: 109] - epoch: 16, iter: 40, lr: 0.000090, loss: 22.155.
2021-08-19 18:45:55,600 - main.py [line: 109] - epoch: 16, iter: 60, lr: 0.000090, loss: 15.578.
2021-08-19 18:46:15,683 - main.py [line: 109] - epoch: 16, iter: 80, lr: 0.000090, loss: 20.007.
2021-08-19 18:46:35,799 - main.py [line: 109] - epoch: 16, iter: 100, lr: 0.000090, loss: 21.647.
2021-08-19 18:46:55,826 - main.py [line: 109] - epoch: 16, iter: 120, lr: 0.000090, loss: 12.272.
2021-08-19 18:47:15,844 - main.py [line: 109] - epoch: 16, iter: 140, lr: 0.000090, loss: 12.883.
2021-08-19 18:47:35,931 - main.py [line: 109] - epoch: 16, iter: 160, lr: 0.000090, loss: 14.864.
